Granule Name,Platform,Sensor,Beam Mode,Beam Mode Description,Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,URL,Size (MB),Off Nadir Angle,Stack Size,Baseline Perp.,Doppler,GroupID
S1B_IW_GRDH_1SDV_20200607T102217_20200607T102242_021926_0299C7_F808,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",21926,25,631,2020-06-07T10:22:42.000000,2020-06-07T10:22:17.000000,GRD_HD,2020-06-07T10:22:17.000000,2020-06-07T10:22:42.000000,-11.8795,-71.8378,-11.386979,-70.511444,-10.864291999999999,-72.80162800000001,-12.892539,-70.868011,-12.364131,-73.16909,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200607T102217_20200607T102242_021926_0299C7_F808.zip,1053.0644264221194,None,None,None,0,S1B_IWDV_0631_0636_021926_025
S1B_IW_GRDH_1SDV_20200612T102922_20200612T102947_021999_029C08_1573,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",21999,98,617,2020-06-12T10:29:47.000000,2020-06-12T10:29:22.000000,GRD_HD,2020-06-12T10:29:22.000000,2020-06-12T10:29:47.000000,-7.7702,-72.9456,-7.269398,-71.641434,-6.760263,-73.914253,-8.779524,-71.973679,-8.265127,-74.25341800000001,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200612T102922_20200612T102947_021999_029C08_1573.zip,1035.088923454285,None,None,None,0,S1B_IWDV_0617_0622_021999_098
S1B_IW_GRDH_1SDV_20200612T102947_20200612T103012_021999_029C08_0A23,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",21999,98,622,2020-06-12T10:30:12.000000,2020-06-12T10:29:47.000000,GRD_HD,2020-06-12T10:29:47.000000,2020-06-12T10:30:12.000000,-9.2775,-73.2851,-8.779613000000001,-71.973701,-8.265015,-74.254326,-10.288843,-72.311462,-9.768833,-74.600533,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200612T102947_20200612T103012_021999_029C08_0A23.zip,1035.8759174346924,None,None,None,0,S1B_IWDV_0622_0627_021999_098
S1B_IW_GRDH_1SDV_20200612T103012_20200612T103037_021999_029C08_F6B7,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",21999,98,627,2020-06-12T10:30:37.000000,2020-06-12T10:30:12.000000,GRD_HD,2020-06-12T10:30:12.000000,2020-06-12T10:30:37.000000,-10.7832,-73.6337,-10.288933,-72.311485,-9.768697,-74.601524,-11.795972,-72.660576,-11.270131,-74.960541,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200612T103012_20200612T103037_021999_029C08_F6B7.zip,1054.0405197143557,None,None,None,0,S1B_IWDV_0627_0632_021999_098
S1B_IW_GRDH_1SDV_20200617T103736_20200617T103801_022072_029E39_08A8,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",22072,171,617,2020-06-17T10:38:01.000000,2020-06-17T10:37:36.000000,GRD_HD,2020-06-17T10:37:36.000000,2020-06-17T10:38:01.000000,-7.7779,-74.993,-7.277224,-73.687546,-6.767155000000001,-75.964897,-8.787861,-74.01775400000001,-8.272532,-76.302086,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200617T103736_20200617T103801_022072_029E39_08A8.zip,1046.109317779541,None,None,None,0,S1B_IWDV_0617_0622_022072_171
S1B_IW_GRDH_1SDV_20200617T103801_20200617T103826_022072_029E39_203E,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",22072,171,622,2020-06-17T10:38:26.000000,2020-06-17T10:38:01.000000,GRD_HD,2020-06-17T10:38:01.000000,2020-06-17T10:38:26.000000,-9.2852,-75.3322,-8.787951,-74.017776,-8.27242,-76.302986,-10.296813,-74.35701,-9.775868,-76.65065799999999,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200617T103801_20200617T103826_022072_029E39_203E.zip,1049.9644374847412,None,None,None,0,S1B_IWDV_0622_0627_022072_171
S1B_IW_GRDH_1SDV_20200619T102152_20200619T102217_022101_029F11_2CBE,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",22101,25,626,2020-06-19T10:22:17.000000,2020-06-19T10:21:52.000000,GRD_HD,2020-06-19T10:21:52.000000,2020-06-19T10:22:17.000000,-10.3748,-71.4833,-9.878061,-70.170578,-9.36111,-72.450211,-11.386909,-70.51130699999999,-10.864445,-72.800514,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200619T102152_20200619T102217_022101_029F11_2CBE.zip,1039.3971452713013,None,None,None,0,S1B_IWDV_0626_0631_022101_025
S1B_IW_GRDH_1SDV_20200619T102217_20200619T102242_022101_029F11_1CC9,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",22101,25,631,2020-06-19T10:22:42.000000,2020-06-19T10:22:17.000000,GRD_HD,2020-06-19T10:22:17.000000,2020-06-19T10:22:42.000000,-11.8795,-71.8377,-11.386999000000001,-70.51133,-10.864285,-72.801598,-12.892555999999999,-70.867897,-12.364122,-73.169067,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200619T102217_20200619T102242_022101_029F11_1CC9.zip,1050.2613744735718,None,None,None,0,S1B_IWDV_0631_0636_022101_025
S1B_IW_GRDH_1SDV_20200624T102923_20200624T102948_022174_02A15C_CA10,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",22174,98,617,2020-06-24T10:29:48.000000,2020-06-24T10:29:23.000000,GRD_HD,2020-06-24T10:29:23.000000,2020-06-24T10:29:48.000000,-7.7703,-72.9454,-7.269456,-71.64116700000001,-6.760338000000001,-73.914001,-8.779584,-71.973412,-8.265203,-74.253151,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200624T102923_20200624T102948_022174_02A15C_CA10.zip,1033.1372718811037,None,None,None,0,S1B_IWDV_0617_0622_022174_098
S1B_IW_GRDH_1SDV_20200624T102948_20200624T103013_022174_02A15C_77A4,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",22174,98,622,2020-06-24T10:30:13.000000,2020-06-24T10:29:48.000000,GRD_HD,2020-06-24T10:29:48.000000,2020-06-24T10:30:13.000000,-9.2776,-73.2848,-8.779674,-71.973427,-8.265091,-74.254051,-10.288903999999999,-72.31118000000001,-9.768911,-74.60025,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200624T102948_20200624T103013_022174_02A15C_77A4.zip,1034.4947290420532,None,None,None,0,S1B_IWDV_0622_0627_022174_098
