Granule Name,Platform,Sensor,Beam Mode,Beam Mode Description,Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,URL,Size (MB),Off Nadir Angle,Stack Size,Baseline Perp.,Doppler,GroupID
S1B_IW_GRDH_1SDV_20180216T103719_20180216T103744_009647_01165A_CB47,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9647,171,617,2018-02-16T10:37:44.000000,2018-02-16T10:37:19.000000,GRD_HD,2018-02-16T10:37:19.000000,2018-02-16T10:37:44.000000,-7.7777,-74.994,-7.277111,-73.688599,-6.767077,-75.965767,-8.787658,-74.018822,-8.272366,-76.302971,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180216T103719_20180216T103744_009647_01165A_CB47.zip,1051.096904754639,None,None,None,0,S1B_IWDV_0617_0622_009647_171
S1A_IW_GRDH_1SDV_20180212T102215_20180212T102248_020572_023347_78F1,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20572,25,626,2018-02-12T10:22:48.000000,2018-02-12T10:22:15.000000,GRD_HD,2018-02-12T10:22:15.000000,2018-02-12T10:22:48.000000,-10.5025,-71.4897,-9.767584,-70.131638,-9.254811,-72.394592,-11.749309,-70.57888,-11.229362,-72.854515,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20180212T102215_20180212T102248_020572_023347_78F1.zip,1329.7836685180664,None,None,None,0,S1A_IWDV_0626_0632_020572_025
S1A_IW_GRDH_1SDV_20180212T102150_20180212T102215_020572_023347_5B81,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20572,25,621,2018-02-12T10:22:15.000000,2018-02-12T10:21:50.000000,GRD_HD,2018-02-12T10:21:50.000000,2018-02-12T10:22:15.000000,-8.7594,-71.0934,-8.257629,-69.797173,-7.750365,-72.051285,-9.767494,-70.131622,-9.254947,-72.3936,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20180212T102150_20180212T102215_020572_023347_5B81.zip,1042.6067199707031,None,None,None,0,S1A_IWDV_0621_0626_020572_025
S1B_IW_GRDH_1SDV_20180211T102956_20180211T103021_009574_0113F4_87F9,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9574,98,627,2018-02-11T10:30:21.000000,2018-02-11T10:29:56.000000,GRD_HD,2018-02-11T10:29:56.000000,2018-02-11T10:30:21.000000,-10.7845,-73.6286,-10.28879,-72.312691,-9.771448,-74.590218,-11.795835,-72.661827,-11.272923,-74.949226,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180211T102956_20180211T103021_009574_0113F4_87F9.zip,1061.9904298782349,None,None,None,0,S1B_IWDV_0627_0632_009574_098
S1B_IW_GRDH_1SDV_20180206T102200_20180206T102225_009501_011184_C115,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9501,25,631,2018-02-06T10:22:25.000000,2018-02-06T10:22:00.000000,GRD_HD,2018-02-06T10:22:00.000000,2018-02-06T10:22:25.000000,-11.8803,-71.8335,-11.38658,-70.512619,-10.86642,-72.791664,-12.892196,-70.869385,-12.366348,-73.159256,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180206T102200_20180206T102225_009501_011184_C115.zip,1051.5659656524658,None,None,None,0,S1B_IWDV_0631_0636_009501_025
S1B_IW_GRDH_1SDV_20180206T102135_20180206T102200_009501_011184_8D4D,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9501,25,626,2018-02-06T10:22:00.000000,2018-02-06T10:21:35.000000,GRD_HD,2018-02-06T10:21:35.000000,2018-02-06T10:22:00.000000,-10.3756,-71.4789,-9.877652,-70.171806,-9.363223,-72.440247,-11.386491,-70.512604,-10.866579,-72.790573,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180206T102135_20180206T102200_009501_011184_8D4D.zip,1040.0021419525146,None,None,None,0,S1B_IWDV_0626_0631_009501_025
S1B_IW_GRDH_1SDV_20180206T102110_20180206T102135_009501_011184_EB07,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9501,25,621,2018-02-06T10:21:35.000000,2018-02-06T10:21:10.000000,GRD_HD,2018-02-06T10:21:10.000000,2018-02-06T10:21:35.000000,-8.8687,-71.1361,-8.367747,-69.836937,-7.858868,-72.096397,-9.877563,-70.171783,-9.363358,-72.439247,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180206T102110_20180206T102135_009501_011184_EB07.zip,1040.344937324524,None,None,None,0,S1B_IWDV_0621_0626_009501_025
S1B_IW_GRDH_1SDV_20180204T103720_20180204T103745_009472_011096_083B,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9472,171,617,2018-02-04T10:37:45.000000,2018-02-04T10:37:20.000000,GRD_HD,2018-02-04T10:37:20.000000,2018-02-04T10:37:45.000000,-7.7776,-74.9938,-7.276959,-73.688416,-6.7669,-75.965584,-8.787593,-74.018684,-8.272273,-76.302826,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180204T103720_20180204T103745_009472_011096_083B.zip,1047.639085769653,None,None,None,0,S1B_IWDV_0617_0622_009472_171
S1A_IW_GRDH_1SDV_20180131T102215_20180131T102248_020397_022DA6_205E,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20397,25,626,2018-01-31T10:22:48.000000,2018-01-31T10:22:15.000000,GRD_HD,2018-01-31T10:22:15.000000,2018-01-31T10:22:48.000000,-10.5022,-71.4892,-9.76765,-70.131149,-9.254891,-72.394104,-11.748658,-70.578217,-11.22873,-72.853851,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20180131T102215_20180131T102248_020397_022DA6_205E.zip,1325.2576007843018,None,None,None,0,S1A_IWDV_0626_0632_020397_025
S1A_IW_GRDH_1SDV_20180131T102150_20180131T102215_020397_022DA6_5206,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20397,25,621,2018-01-31T10:22:15.000000,2018-01-31T10:21:50.000000,GRD_HD,2018-01-31T10:21:50.000000,2018-01-31T10:22:15.000000,-8.7595,-71.0929,-8.257694,-69.796692,-7.750445,-72.050804,-9.76756,-70.131126,-9.255027,-72.393112,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20180131T102150_20180131T102215_020397_022DA6_5206.zip,1043.483959197998,None,None,None,0,S1A_IWDV_0621_0626_020397_025
