"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
"S1B_IW_GRDH_1SDV_20171102T102203_20171102T102228_008101_00E506_A225","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8101","25","631","2017-11-02T10:22:28.000000","2017-11-02T10:22:03.000000","GRD_HD","2017-11-02T10:22:03.000000","2017-11-02T10:22:28.000000","-11.8807","-71.8333","-11.386911","-70.51252","-10.866792","-72.791573","-12.892553","-70.869148","-12.366747","-73.15905","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171102T102203_20171102T102228_008101_00E506_A225.zip","1054.6576738357544","None","None","0","S1B_IWDV_0631_0636_008101_025",""
"S1B_IW_GRDH_1SDV_20171102T102138_20171102T102203_008101_00E506_40F5","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8101","25","626","2017-11-02T10:22:03.000000","2017-11-02T10:21:38.000000","GRD_HD","2017-11-02T10:21:38.000000","2017-11-02T10:22:03.000000","-10.376","-71.4789","-9.877977","-70.171738","-9.363568","-72.440277","-11.386822","-70.512505","-10.86693","-72.790573","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171102T102138_20171102T102203_008101_00E506_40F5.zip","1038.0384874343872","None","None","0","S1B_IWDV_0626_0631_008101_025",""
"S1B_IW_GRDH_1SDV_20171102T102113_20171102T102138_008101_00E506_21E3","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8101","25","621","2017-11-02T10:21:38.000000","2017-11-02T10:21:13.000000","GRD_HD","2017-11-02T10:21:13.000000","2017-11-02T10:21:38.000000","-8.8691","-71.1361","-8.368069","-69.836899","-7.85921","-72.096458","-9.877889","-70.171715","-9.363704","-72.439278","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171102T102113_20171102T102138_008101_00E506_21E3.zip","1033.4449253082275","None","None","0","S1B_IWDV_0621_0626_008101_025",""
"S1B_IW_GRDH_1SDV_20171031T103748_20171031T103813_008072_00E43A_CE54","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8072","171","622","2017-10-31T10:38:13.000000","2017-10-31T10:37:48.000000","GRD_HD","2017-10-31T10:37:48.000000","2017-10-31T10:38:13.000000","-9.2852","-75.3334","-8.787889","-74.01902","-8.272339","-76.304131","-10.296746","-74.358307","-9.775782","-76.651863","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171031T103748_20171031T103813_008072_00E43A_CE54.zip","1052.441746711731","None","None","0","S1B_IWDV_0622_0627_008072_171",""
"S1B_IW_GRDH_1SDV_20171031T103723_20171031T103748_008072_00E43A_11B7","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8072","171","617","2017-10-31T10:37:48.000000","2017-10-31T10:37:23.000000","GRD_HD","2017-10-31T10:37:23.000000","2017-10-31T10:37:48.000000","-7.7778","-74.9942","-7.277166","-73.688728","-6.767077","-75.965981","-8.787799","-74.018997","-8.272451","-76.30323","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171031T103723_20171031T103748_008072_00E43A_11B7.zip","1039.7301750183105","None","None","0","S1B_IWDV_0617_0622_008072_171",""
"S1B_IW_GRDH_1SDV_20171026T102959_20171026T103024_007999_00E21F_519D","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","7999","98","627","2017-10-26T10:30:24.000000","2017-10-26T10:29:59.000000","GRD_HD","2017-10-26T10:29:59.000000","2017-10-26T10:30:24.000000","-10.7846","-73.6287","-10.288934","-72.312698","-9.77154","-74.590309","-11.795976","-72.661858","-11.273013","-74.949333","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171026T102959_20171026T103024_007999_00E21F_519D.zip","1056.794038772583","None","None","0","S1B_IWDV_0627_0632_007999_098",""
"S1B_IW_GRDH_1SDV_20171026T102934_20171026T102959_007999_00E21F_3461","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","7999","98","622","2017-10-26T10:29:59.000000","2017-10-26T10:29:34.000000","GRD_HD","2017-10-26T10:29:34.000000","2017-10-26T10:29:59.000000","-9.2789","-73.28","-8.779608","-71.974869","-8.267815","-74.243095","-10.288844","-72.312683","-9.771675","-74.58931","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171026T102934_20171026T102959_007999_00E21F_3461.zip","1039.0740804672241","None","None","0","S1B_IWDV_0622_0627_007999_098",""
"S1B_IW_GRDH_1SDV_20171026T102909_20171026T102934_007999_00E21F_0F5E","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","7999","98","617","2017-10-26T10:29:34.000000","2017-10-26T10:29:09.000000","GRD_HD","2017-10-26T10:29:09.000000","2017-10-26T10:29:34.000000","-7.7716","-72.9406","-7.269387","-71.642548","-6.763023","-73.903023","-8.779518","-71.974846","-8.267927","-74.242195","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171026T102909_20171026T102934_007999_00E21F_0F5E.zip","1036.0182523727417","None","None","0","S1B_IWDV_0617_0622_007999_098",""
"S1B_IW_GRDH_1SDV_20171021T102112_20171021T102141_007926_00DFFF_8509","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","7926","25","621","2017-10-21T10:21:41.000000","2017-10-21T10:21:12.000000","GRD_HD","2017-10-21T10:21:12.000000","2017-10-21T10:21:41.000000","-8.9033","-71.1452","-8.280469","-69.821289","-7.772937","-72.075829","-10.033003","-70.210182","-9.519296","-72.474037","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171021T102112_20171021T102141_007926_00DFFF_8509.zip","1160.6656255722046","None","None","0","S1B_IWDV_0621_0627_007926_025",""
"S1B_IW_GRDH_1SDV_20171019T103748_20171019T103813_007897_00DF32_C97D","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","7897","171","622","2017-10-19T10:38:13.000000","2017-10-19T10:37:48.000000","GRD_HD","2017-10-19T10:37:48.000000","2017-10-19T10:38:13.000000","-9.2853","-75.3324","-8.78791","-74.018028","-8.272388","-76.303154","-10.29686","-74.357315","-9.775925","-76.650879","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171019T103748_20171019T103813_007897_00DF32_C97D.zip","1050.5018577575684","None","None","0","S1B_IWDV_0622_0627_007897_171",""
