"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
"S1A_IW_GRDH_1SDV_20160919T103031_20160919T103056_013120_014D54_8E00","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13120","98","627","2016-09-19T10:30:56.000000","2016-09-19T10:30:31.000000","GRD_HD","2016-09-19T10:30:31.000000","2016-09-19T10:30:56.000000","-10.5751","-73.5848","-10.077125","-72.278297","-9.563457","-74.541473","-11.585104","-72.623039","-11.065932","-74.895882","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20160919T103031_20160919T103056_013120_014D54_8E00.zip","1054.2061786651611","None","None","0","S1A_IWDV_0627_0632_013120_098",""
"S1A_IW_GRDH_1SDV_20160919T103002_20160919T103031_013120_014D54_B725","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13120","98","621","2016-09-19T10:30:31.000000","2016-09-19T10:30:02.000000","GRD_HD","2016-09-19T10:30:02.000000","2016-09-19T10:30:31.000000","-8.948","-73.2116","-8.325513","-71.887482","-7.818223","-74.140472","-10.077035","-72.278275","-9.563572","-74.540565","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20160919T103002_20160919T103031_013120_014D54_B725.zip","1157.6257467269897","None","None","0","S1A_IWDV_0621_0627_013120_098",""
"S1A_IW_GRDH_1SDV_20160912T103821_20160912T103846_013018_0149E6_681D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13018","171","622","2016-09-12T10:38:46.000000","2016-09-12T10:38:21.000000","GRD_HD","2016-09-12T10:38:21.000000","2016-09-12T10:38:46.000000","-9.1679","-75.3098","-8.668687","-74.003479","-8.156898","-76.273018","-10.177713","-74.342339","-9.660556","-76.620132","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20160912T103821_20160912T103846_013018_0149E6_681D.zip","1050.5480995178223","None","None","0","S1A_IWDV_0622_0627_013018_171",""
"S1A_IW_GRDH_1SDV_20160912T103756_20160912T103821_013018_0149E6_859D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13018","171","617","2016-09-12T10:38:21.000000","2016-09-12T10:37:56.000000","GRD_HD","2016-09-12T10:37:56.000000","2016-09-12T10:38:21.000000","-7.6605","-74.9708","-7.158139","-73.672913","-6.651768","-75.934776","-8.668597","-74.003456","-8.15701","-76.272118","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20160912T103756_20160912T103821_013018_0149E6_859D.zip","1040.2531023025513","None","None","0","S1A_IWDV_0617_0622_013018_171",""
"S1A_IW_GRDH_1SDV_20160907T102939_20160907T103012_012945_014796_B736","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","12945","98","616","2016-09-07T10:30:12.000000","2016-09-07T10:29:39.000000","GRD_HD","2016-09-07T10:29:39.000000","2016-09-07T10:30:12.000000","-7.6995","-72.9101","-6.936141","-71.568527","-6.436627","-73.802475","-8.962537","-72.013824","-8.456101","-74.256874","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20160907T102939_20160907T103012_012945_014796_B736.zip","1331.504406929016","None","None","0","S1A_IWDV_0616_0623_012945_098",""
"S1A_IW_GRDH_1SDV_20160902T102225_20160902T102250_012872_01453B_1DDB","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","12872","25","628","2016-09-02T10:22:50.000000","2016-09-02T10:22:25.000000","GRD_HD","2016-09-02T10:22:25.000000","2016-09-02T10:22:50.000000","-11.0518","-71.6315","-10.555554","-70.318787","-10.037558","-72.596565","-12.064181","-70.660873","-11.540617","-72.948959","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20160902T102225_20160902T102250_012872_01453B_1DDB.zip","1038.3418130874634","None","None","0","S1A_IWDV_0628_0633_012872_025",""
"S1A_IW_GRDH_1SDV_20160902T102200_20160902T102225_012872_01453B_F1D0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","12872","25","623","2016-09-02T10:22:25.000000","2016-09-02T10:22:00.000000","GRD_HD","2016-09-02T10:22:00.000000","2016-09-02T10:22:25.000000","-9.5454","-71.2857","-9.046151","-69.980957","-8.533988","-72.248169","-10.555465","-70.318764","-10.037899","-72.594681","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20160902T102200_20160902T102225_012872_01453B_F1D0.zip","1033.594988822937","None","None","0","S1A_IWDV_0623_0628_012872_025",""
