"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
"S1B_IW_GRDH_1SDV_20200713T102154_20200713T102219_022451_02A9C5_46DF","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22451","25","626","2020-07-13T10:22:19.000000","2020-07-13T10:21:54.000000","GRD_HD","2020-07-13T10:21:54.000000","2020-07-13T10:22:19.000000","-10.3747","-71.4839","-9.877907","-70.171242","-9.36095","-72.450676","-11.386749","-70.512001","-10.864279","-72.80101","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200713T102154_20200713T102219_022451_02A9C5_46DF.zip","1039.7726125717163","None","None","0","S1B_IWDV_0626_0631_022451_025",""
"S1B_IW_GRDH_1SDV_20200713T102129_20200713T102154_022451_02A9C5_2064","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22451","25","621","2020-07-13T10:21:54.000000","2020-07-13T10:21:29.000000","GRD_HD","2020-07-13T10:21:29.000000","2020-07-13T10:21:54.000000","-8.8678","-71.1411","-8.367997","-69.836411","-7.856602","-72.106926","-9.877817","-70.171219","-9.361065","-72.449768","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200713T102129_20200713T102154_022451_02A9C5_2064.zip","1034.1262969970703","None","None","0","S1B_IWDV_0621_0626_022451_025",""
"S1B_IW_GRDH_1SDV_20200711T103803_20200711T103828_022422_02A8E5_34DB","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22422","171","622","2020-07-11T10:38:28.000000","2020-07-11T10:38:03.000000","GRD_HD","2020-07-11T10:38:03.000000","2020-07-11T10:38:28.000000","-9.2852","-75.3324","-8.7879","-74.017998","-8.272327","-76.3032","-10.296847","-74.357277","-9.775861","-76.650917","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200711T103803_20200711T103828_022422_02A8E5_34DB.zip","1052.1900806427002","None","None","0","S1B_IWDV_0622_0627_022422_171",""
"S1B_IW_GRDH_1SDV_20200711T103738_20200711T103803_022422_02A8E5_B9BA","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22422","171","617","2020-07-11T10:38:03.000000","2020-07-11T10:37:38.000000","GRD_HD","2020-07-11T10:37:38.000000","2020-07-11T10:38:03.000000","-7.7778","-74.9932","-7.277267","-73.687759","-6.767156","-75.965096","-8.78781","-74.017975","-8.27244","-76.302292","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200711T103738_20200711T103803_022422_02A8E5_B9BA.zip","1040.4733963012695","None","None","0","S1B_IWDV_0617_0622_022422_171",""
"S1B_IW_GRDH_1SDV_20200706T103014_20200706T103039_022349_02A6B3_4236","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22349","98","627","2020-07-06T10:30:39.000000","2020-07-06T10:30:14.000000","GRD_HD","2020-07-06T10:30:14.000000","2020-07-06T10:30:39.000000","-10.7834","-73.6332","-10.289045","-72.311035","-9.768867","-74.600998","-11.796088","-72.660103","-11.270306","-74.959984","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200706T103014_20200706T103039_022349_02A6B3_4236.zip","1053.397840499878","None","None","0","S1B_IWDV_0627_0632_022349_098",""
"S1B_IW_GRDH_1SDV_20200706T102949_20200706T103014_022349_02A6B3_34D4","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22349","98","622","2020-07-06T10:30:14.000000","2020-07-06T10:29:49.000000","GRD_HD","2020-07-06T10:29:49.000000","2020-07-06T10:30:14.000000","-9.2777","-73.2846","-8.779722","-71.973282","-8.265181","-74.253822","-10.288956","-72.311012","-9.769003","-74.599998","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200706T102949_20200706T103014_022349_02A6B3_34D4.zip","1035.4734630584717","None","None","0","S1B_IWDV_0622_0627_022349_098",""
"S1B_IW_GRDH_1SDV_20200706T102924_20200706T102949_022349_02A6B3_E989","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22349","98","617","2020-07-06T10:29:49.000000","2020-07-06T10:29:24.000000","GRD_HD","2020-07-06T10:29:24.000000","2020-07-06T10:29:49.000000","-7.7704","-72.9452","-7.269504","-71.641037","-6.760426","-73.91378","-8.779633","-71.973259","-8.265294","-74.252914","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200706T102924_20200706T102949_022349_02A6B3_E989.zip","1035.0693445205688","None","None","0","S1B_IWDV_0617_0622_022349_098",""
"S1B_IW_GRDH_1SDV_20200701T102218_20200701T102243_022276_02A472_3AC3","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22276","25","631","2020-07-01T10:22:43.000000","2020-07-01T10:22:18.000000","GRD_HD","2020-07-01T10:22:18.000000","2020-07-01T10:22:43.000000","-11.8794","-71.8377","-11.386895","-70.51136","-10.864202","-72.801453","-12.89254","-70.867966","-12.364127","-73.168953","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200701T102218_20200701T102243_022276_02A472_3AC3.zip","1052.0783462524414","None","None","0","S1B_IWDV_0631_0636_022276_025",""
"S1B_IW_GRDH_1SDV_20200701T102153_20200701T102218_022276_02A472_5A4A","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22276","25","626","2020-07-01T10:22:18.000000","2020-07-01T10:21:53.000000","GRD_HD","2020-07-01T10:21:53.000000","2020-07-01T10:22:18.000000","-10.3747","-71.4833","-9.877959","-70.170601","-9.361009","-72.450134","-11.386806","-70.511345","-10.864341","-72.800453","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200701T102153_20200701T102218_022276_02A472_5A4A.zip","1041.8018779754639","None","None","0","S1B_IWDV_0626_0631_022276_025",""
"S1B_IW_GRDH_1SDV_20200701T102128_20200701T102153_022276_02A472_59B3","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22276","25","621","2020-07-01T10:21:53.000000","2020-07-01T10:21:28.000000","GRD_HD","2020-07-01T10:21:28.000000","2020-07-01T10:21:53.000000","-8.8678","-71.1405","-8.368046","-69.835785","-7.856677","-72.106308","-9.87787","-70.170578","-9.361144","-72.449135","None","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20200701T102128_20200701T102153_022276_02A472_59B3.zip","1037.7414817810059","None","None","0","S1B_IWDV_0621_0626_022276_025",""
